omitted_item_id,affected_boards,scheme_id,scheme,full_eligible_models,post_omission_eligible_models,eligible_population_retention,conditional_spearman,top50_retention
aime-2026,hard-reasoning,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.99997,1.0
aime-2026,hard-reasoning,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999968,1.0
hmmt-2026-feb,hard-reasoning,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999996,1.0
hmmt-2026-feb,hard-reasoning,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999998,1.0
hmmt-2026-feb,hard-reasoning,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999978,1.0
hmmt-2026-feb,hard-reasoning,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999982,0.98
omniscience,knowledge-science,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999943,0.98
omniscience,knowledge-science,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999821,0.98
omniscience,knowledge-science,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999491,0.98
omniscience,knowledge-science,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999702,0.98
mmmu-pro,knowledge-science,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,1.0,1.0
mmmu-pro,knowledge-science,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,1.0,1.0
mmmu-pro,knowledge-science,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.99999,1.0
mmmu-pro,knowledge-science,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999987,1.0
mmlu-pro,knowledge-science,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999998,1.0
mmlu-pro,knowledge-science,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999997,1.0
mmlu-pro,knowledge-science,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999985,1.0
mmlu-pro,knowledge-science,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999997,1.0
ifbench,instruction-context,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,320,0.97561,0.999644,0.92
ifbench,instruction-context,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,320,0.97561,0.998751,0.96
ifbench,instruction-context,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,320,0.97561,0.998074,0.98
ifbench,instruction-context,borda_breadth,收缩 Borda + 广度优先合成,328,320,0.97561,0.997453,0.96
charxiv-tools,instruction-context,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,1.0,1.0
charxiv-tools,instruction-context,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999999,1.0
charxiv-tools,instruction-context,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999976,1.0
charxiv-tools,instruction-context,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999993,1.0
charxiv-no-tools,instruction-context,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999999,1.0
charxiv-no-tools,instruction-context,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,1.0,1.0
charxiv-no-tools,instruction-context,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999989,1.0
charxiv-no-tools,instruction-context,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.99999,1.0
